Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Nucleotide」的中文是什麼?,Multiple Choice,腺嘌呤,核苷酸,雙螺旋,鳥嘌呤,2,30,W11-001
「Nucleoside」的中文是什麼?,Multiple Choice,嘧啶,核苷,核糖,基因,2,30,W11-002
「Base nitrogen」的中文是什麼?,Multiple Choice,尿嘧啶,胸腺嘧啶,含氮鹼基,核糖核酸,3,30,W11-003
「Purine」的中文是什麼?,Multiple Choice,核糖,嘌呤,核苷,核苷酸,2,30,W11-004
「Pyrimidine」的中文是什麼?,Multiple Choice,互補,基因,核苷,嘧啶,4,30,W11-005
「Adenine (A)」的中文是什麼?,Multiple Choice,反平行,核苷酸,腺嘌呤,胞嘧啶,3,30,W11-006
「Guanine (G)」的中文是什麼?,Multiple Choice,核苷酸,互補,腺嘌呤,鳥嘌呤,4,30,W11-007
「Cytosine (C)」的中文是什麼?,Multiple Choice,胞嘧啶,基因,反平行,雙螺旋,1,30,W11-008
「Thymine (T)」的中文是什麼?,Multiple Choice,核苷酸,含氮鹼基,胞嘧啶,胸腺嘧啶,4,30,W11-009
「Uracil (U)」的中文是什麼?,Multiple Choice,尿嘧啶,胸腺嘧啶,雙螺旋,胞嘧啶,1,30,W11-010
「Deoxyribose」的中文是什麼?,Multiple Choice,去氧核糖,雙螺旋,含氮鹼基,核糖核酸,1,30,W11-011
「Ribose」的中文是什麼?,Multiple Choice,尿嘧啶,嘧啶,核糖,嘌呤,3,30,W11-012
「Liên kết phosphodiester」的中文是什麼?,Multiple Choice,鳥嘌呤,去氧核糖,磷酸雙酯鍵,雙螺旋,3,30,W11-013
「Chuỗi xoắn kép」的中文是什麼?,Multiple Choice,雙螺旋,尿嘧啶,胞嘧啶,核苷酸,1,30,W11-014
「Sự bắt cặp base」的中文是什麼?,Multiple Choice,胸腺嘧啶,胞嘧啶,去氧核糖,鹼基配對,4,30,W11-015
「Bổ sung」的中文是什麼?,Multiple Choice,互補,核糖,嘧啶,尿嘧啶,1,30,W11-016
「Đối song song」的中文是什麼?,Multiple Choice,含氮鹼基,反平行,鳥嘌呤,雙螺旋,2,30,W11-017
「DNA」的中文是什麼?,Multiple Choice,鹼基配對,去氧核糖核酸,磷酸雙酯鍵,核苷酸,2,30,W11-018
「RNA」的中文是什麼?,Multiple Choice,鹼基配對,胸腺嘧啶,反平行,核糖核酸,4,30,W11-019
「Gene」的中文是什麼?,Multiple Choice,核苷,核糖,基因,嘌呤,3,30,W11-020
